"OTU","Genus","Phylum","p_value","p_adj_BH","control","Asthma","in_top_panel"
"RSV_genus1285","Xanthomonas","Proteobacteria",0.000283835506610763,0.000313388173775041,-0.142847107143575,-0.12422638861047,FALSE
"RSV_genus1286","Xylella","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1287","Acidibacter","Proteobacteria",1.18535540967828e-05,4.57556527101212e-05,-0.252920854663914,-0.223094087326792,FALSE
"RSV_genus1288","Candidatus Competibacter","Proteobacteria",3.00146278340856e-05,4.57556527101212e-05,-0.253303164250403,-0.242530648090362,FALSE
"RSV_genus1290","Steroidobacter","Proteobacteria",1.48717020797718e-05,4.57556527101212e-05,-0.240321738835217,-0.209952598517759,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",0.17386240692971,0.178296729741945,0.443101852132669,0.308460772824219,FALSE
"RSV_genus1301","Turneriella","Spirochaetae",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1304","Sphaerochaeta","Spirochaetae",3.45508311203031e-05,4.68280225155794e-05,-0.250924991982435,-0.241087005135476,FALSE
"RSV_genus1305","Spirochaeta 2","Spirochaetae",0.000215511948064473,0.000239044861933582,-0.207378984837787,-0.217623158134333,FALSE
"RSV_genus1306","Treponema","Spirochaetae",3.35173957419582e-05,4.62878329054906e-05,-0.252177511499726,-0.242530648090362,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",0.00127552972949695,0.00138301818984781,4.09582705162914,3.78703290836349,TRUE
"RSV_genus1308","Candidatus Tammella","Synergistetes",8.53064975386481e-05,9.70763798641455e-05,-0.244590650256985,-0.238887298915277,FALSE
"RSV_genus1309","Fretibacterium","Synergistetes",3.74959908693318e-06,4.57556527101212e-05,2.06708709212266,1.69234106061021,TRUE
"RSV_genus1310","Jonquetella","Synergistetes",1.26717002405507e-05,4.57556527101212e-05,-0.250310862720392,-0.23188455380987,FALSE
"RSV_genus1311","Pyramidobacter","Synergistetes",0.000207710682366016,0.000230656856712549,-0.124559766355934,-0.126729341965594,FALSE
"RSV_genus1312","Synergistes","Synergistetes",3.70528858354553e-05,4.79166914575817e-05,-0.251973043416483,-0.242530648090362,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",0.631666986064111,0.637613641790656,0.260616512290729,0.0207569707930529,FALSE
"RSV_genus1315","Anaeroplasma","Tenericutes",3.63429093282618e-05,4.79166914575817e-05,-0.252373120724811,-0.242530648090362,FALSE
"RSV_genus1316","Entomoplasma","Tenericutes",2.76793476491398e-05,4.57556527101212e-05,-0.250289897734295,-0.23576652919836,FALSE
"RSV_genus1317","Mesoplasma","Tenericutes",3.77760171438366e-05,4.83380847400307e-05,-0.25051238684209,-0.23964336218059,FALSE
"RSV_genus1318","Spiroplasma","Tenericutes",3.44230529634214e-05,4.6819484530566e-05,-0.244628462042563,-0.234902349839486,FALSE
"RSV_genus1319","Candidatus Phytoplasma","Tenericutes",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1321","Candidatus Bacilloplasma","Tenericutes",6.12952287125203e-06,4.57556527101212e-05,-0.241600308036931,-0.222294686644415,FALSE
"RSV_genus1322","Mycoplasma","Tenericutes",0.0521731961115467,0.0542533774220286,2.16300066625469,1.97991386268096,FALSE
"RSV_genus1324","Ureaplasma","Tenericutes",8.25304272939418e-06,4.57556527101212e-05,-0.240785212770483,-0.225276598751264,FALSE
"RSV_genus1327","AUTHM297","Thermotogae",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1328","Thermotoga","Thermotogae",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1333","Opitutus","Verrucomicrobia",7.67822211473247e-05,8.79986263743092e-05,-0.210366026590074,-0.204113892262173,FALSE
"RSV_genus1334","Lentimonas","Verrucomicrobia",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1335","Chthoniobacter","Verrucomicrobia",2.98020481902887e-05,4.57556527101212e-05,-0.246881104501144,-0.231158318222342,FALSE
"RSV_genus1341","Candidatus Methylacidiphilum","Verrucomicrobia",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1344","Akkermansia","Verrucomicrobia",0.000526823224354682,0.000575746785393282,-0.0600170169011681,-0.0748350077210937,FALSE
"RSV_genus1345","Luteolibacter","Verrucomicrobia",2.5622802524709e-05,4.57556527101212e-05,-0.25401179868196,-0.237107344036426,FALSE
"RSV_genus1347","Prosthecobacter","Verrucomicrobia",1.34861876864033e-05,4.57556527101212e-05,-0.252854459340974,-0.227472555866362,FALSE
"RSV_genus1348","Roseimicrobium","Verrucomicrobia",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
