"OTU","Genus","Phylum","p_value","p_adj_BH","control","Colon.cancer","in_top_panel"
"RSV_genus902","Acetobacter","Proteobacteria",0.141323204317684,0.186796757689188,-0.250456250396414,-0.217835215046443,FALSE
"RSV_genus903","Acidicaldus","Proteobacteria",0.138969302584155,0.186796757689188,-0.252480592338409,-0.217835215046443,FALSE
"RSV_genus904","Acidiphilium","Proteobacteria",0.139821748782368,0.186796757689188,-0.253025618710692,-0.217835215046443,FALSE
"RSV_genus905","Acidisoma","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus906","Acidocella","Proteobacteria",0.188037151236352,0.210750117239349,-0.218179110295036,-0.217835215046443,FALSE
"RSV_genus907","Asaia","Proteobacteria",0.139821748782368,0.186796757689188,-0.252839593356079,-0.217835215046443,FALSE
"RSV_genus908","Belnapia","Proteobacteria",0.139608260935849,0.186796757689188,-0.253211644065304,-0.217835215046443,FALSE
"RSV_genus909","Craurococcus","Proteobacteria",0.140678213077156,0.186796757689188,-0.252854459340974,-0.217835215046443,FALSE
"RSV_genus910","Gluconacetobacter","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus911","Gluconobacter","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus913","Paracraurococcus","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus914","Roseococcus","Proteobacteria",0.140892958175734,0.186796757689188,-0.252854459340974,-0.217835215046443,FALSE
"RSV_genus915","Roseomonas","Proteobacteria",0.14381673923202,0.186796757689188,-0.245897982339653,-0.217835215046443,FALSE
"RSV_genus916","Saccharibacter","Proteobacteria",0.139821748782368,0.186796757689188,-0.253173275341467,-0.217835215046443,FALSE
"RSV_genus917","Stella","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus925","AEGEAN-169 marine group","Proteobacteria",0.138863028821956,0.186796757689188,-0.252854459340974,-0.217835215046443,FALSE
"RSV_genus926","Azospirillum","Proteobacteria",0.143598579719037,0.186796757689188,-0.249391078072064,-0.217835215046443,FALSE
"RSV_genus927","Defluviicoccus","Proteobacteria",0.139821748782368,0.186796757689188,-0.253506957326854,-0.217835215046443,FALSE
"RSV_genus928","Dongia","Proteobacteria",0.139821748782368,0.186796757689188,-0.251672670144621,-0.217835215046443,FALSE
"RSV_genus929","Magnetospirillum","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus930","Marispirillum","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus932","Skermanella","Proteobacteria",0.140570934951333,0.186796757689188,-0.251714603328169,-0.217835215046443,FALSE
"RSV_genus933","Telmatospirillum","Proteobacteria",0.139501611136835,0.186796757689188,-0.253611721373632,-0.217835215046443,FALSE
"RSV_genus934","Thalassospira","Proteobacteria",0.141646551001882,0.186796757689188,-0.249186438186932,-0.217835215046443,FALSE
"RSV_genus935","Candidatus Alysiosphaera","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus936","Geminicoccus","Proteobacteria",0.139821748782368,0.186796757689188,-0.252091551209795,-0.217835215046443,FALSE
"RSV_genus938","Reyranella","Proteobacteria",0.158314172604762,0.187270435899324,-0.240260072216942,-0.217835215046443,FALSE
"RSV_genus940","Wolbachia","Proteobacteria",0.178473097461584,0.202381361986402,-0.21101117371936,-0.217835215046443,FALSE
"RSV_genus946","Rickettsia","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus947","Candidatus Captivus","Proteobacteria",0.142294949177509,0.186796757689188,-0.251868279369706,-0.217835215046443,FALSE
"RSV_genus948","Candidatus Hepatincola","Proteobacteria",0.154359513018834,0.186796757689188,-0.237133717117168,-0.217835215046443,FALSE
"RSV_genus949","Candidatus Odyssella","Proteobacteria",0.142728479164716,0.186796757689188,-0.250810348595749,-0.217835215046443,FALSE
"RSV_genus957","Altererythrobacter","Proteobacteria",0.147675796942636,0.186796757689188,-0.238969043229624,-0.217835215046443,FALSE
"RSV_genus958","Erythrobacter","Proteobacteria",0.141646551001882,0.186796757689188,-0.245382822723983,-0.217835215046443,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.182620036309039,0.206115011740612,-0.206651084522728,-0.217835215046443,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.193981558085018,0.216407171736465,-0.0572626850806632,0.122284523119772,FALSE
"RSV_genus966","Novosphingobium","Proteobacteria",0.172259494835108,0.197566746966244,-0.213363782847853,-0.217835215046443,FALSE
"RSV_genus967","Polymorphobacter","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus968","Sandaracinobacter","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.0223799167637621,0.186796757689188,-0.193178297214732,-0.0792057789344544,FALSE
"RSV_genus970","Sphingomicrobium","Proteobacteria",0.141000425188292,0.186796757689188,-0.2477811149094,-0.217835215046443,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.22365134714197,0.245533048910126,-0.137865626440926,-0.217835215046443,FALSE
"RSV_genus972","Sphingopyxis","Proteobacteria",0.148680804112633,0.186796757689188,-0.242086776896629,-0.217835215046443,FALSE
"RSV_genus973","Sphingorhabdus","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus974","Zymomonas","Proteobacteria",0.140785554145321,0.186796757689188,-0.252520777355586,-0.217835215046443,FALSE
"RSV_genus976","Achromobacter","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus977","Advenella","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus978","Alcaligenes","Proteobacteria",0.139608260935849,0.186796757689188,-0.252650666264522,-0.217835215046443,FALSE
"RSV_genus979","Bordetella","Proteobacteria",0.151727166753048,0.186796757689188,-0.241377025798503,-0.217835215046443,FALSE
"RSV_genus980","Castellaniella","Proteobacteria",0.184983861977822,0.207810741337135,-0.207232318574269,-0.217835215046443,FALSE
"RSV_genus981","GKS98 freshwater group","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus982","Kerstersia","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus983","MWH-UniP1 aquatic group","Proteobacteria",0.139608260935849,0.186796757689188,-0.252886145931283,-0.217835215046443,FALSE
"RSV_genus985","Oligella","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus986","Parapusillimonas","Proteobacteria",0.14251158761192,0.186796757689188,-0.248492020998348,-0.217835215046443,FALSE
"RSV_genus987","Parasutterella","Proteobacteria",0.169275791618824,0.195590189778291,-0.215920349716714,-0.217835215046443,FALSE
"RSV_genus988","Pelistega","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus989","Pusillimonas","Proteobacteria",0.138969302584155,0.186796757689188,-0.252095305532322,-0.217835215046443,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.165358037729627,0.192485532459699,-0.22798126646511,-0.217835215046443,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.346310325405666,0.370088000018236,-0.0786034774906798,-0.217835215046443,FALSE
"RSV_genus992","Cupriavidus","Proteobacteria",0.162704429815728,0.190364745514578,-0.22040577064449,-0.217835215046443,FALSE
"RSV_genus993","Lautropia","Proteobacteria",0.608796126682686,0.625653101436414,2.80816986980185,2.20594452945072,FALSE
"RSV_genus994","Limnobacter","Proteobacteria",0.139714973477697,0.186796757689188,-0.253025618710692,-0.217835215046443,FALSE
"RSV_genus996","Pandoraea","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus997","Polynucleobacter","Proteobacteria",0.144801603360299,0.186796757689188,-0.247699209432475,-0.217835215046443,FALSE
"RSV_genus998","Ralstonia","Proteobacteria",0.307821846010922,0.332268547427897,0.845971687885667,0.140516678799168,FALSE
"RSV_genus999","Thiomonas","Proteobacteria",0.139714973477697,0.186796757689188,-0.252717061587462,-0.217835215046443,FALSE
"RSV_genus1000","Acidovorax","Proteobacteria",0.139501611136835,0.186796757689188,-0.253611721373632,-0.217835215046443,FALSE
"RSV_genus1001","Albidiferax","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus1002","Aquabacterium","Proteobacteria",0.0255032605742471,0.186796757689188,-0.217438683625875,0.173367085496371,FALSE
"RSV_genus1003","Azohydromonas","Proteobacteria",0.138969302584155,0.186796757689188,-0.252310113017553,-0.217835215046443,FALSE
"RSV_genus1004","Brachymonas","Proteobacteria",0.143054291436617,0.186796757689188,-0.245611856308237,-0.217835215046443,FALSE
"RSV_genus1005","Caenimonas","Proteobacteria",0.139608260935849,0.186796757689188,-0.251605880915682,-0.217835215046443,FALSE
"RSV_genus1006","Comamonas","Proteobacteria",0.155978715021765,0.186796757689188,-0.226461548187797,-0.217835215046443,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",0.945563672582991,0.953468071099881,0.376830856477089,-0.0568914238030334,FALSE
"RSV_genus1008","Delftia","Proteobacteria",0.142945623993964,0.186796757689188,-0.245482240918977,-0.217835215046443,FALSE
"RSV_genus1009","Diaphorobacter","Proteobacteria",0.139501611136835,0.186796757689188,-0.2518381979682,-0.217835215046443,FALSE
"RSV_genus1010","Extensimonas","Proteobacteria",0.155167510364288,0.186796757689188,-0.224825955996119,-0.217835215046443,FALSE
"RSV_genus1011","Hydrogenophaga","Proteobacteria",0.142620001738637,0.186796757689188,-0.248729241527987,-0.217835215046443,FALSE
"RSV_genus1012","Inhella","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus1013","Kinneretia","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus1014","Lampropedia","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus1015","Limnohabitans","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.00762025007205489,0.186796757689188,0.357526717081754,1.53265377366554,FALSE
