"OTU","Genus","Phylum","p_value","p_adj_BH","control","Gum.disease","in_top_panel"
"RSV_genus61","Nocardia","Actinobacteria",3.7559325833047e-61,5.88388789430038e-61,-0.221707729293855,-0.269944298897202,FALSE
"RSV_genus62","Rhodococcus","Actinobacteria",1.02079770589867e-59,1.24220653996496e-59,-0.213683057397667,-0.258114174541455,FALSE
"RSV_genus63","Williamsia","Actinobacteria",6.11756076414521e-61,8.39750517411113e-61,-0.225356821019241,-0.269096203337017,FALSE
"RSV_genus64","Tsukamurella","Actinobacteria",4.26387373355028e-61,6.58342104460163e-61,-0.225356821019241,-0.271917061995352,FALSE
"RSV_genus65","Acidothermus","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus66","Cryptosporangium","Actinobacteria",6.09880734926877e-61,8.39750517411113e-61,-0.225356821019241,-0.268653688868175,FALSE
"RSV_genus67","Fodinicola","Actinobacteria",2.31129091322897e-60,2.96201292332796e-60,-0.225356821019241,-0.27008557033043,FALSE
"RSV_genus68","Frankia","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus69","Jatrophihabitans","Actinobacteria",1.89152230058207e-61,3.29479967520161e-61,-0.225356821019241,-0.268603795601752,FALSE
"RSV_genus70","Blastococcus","Actinobacteria",2.78250302944454e-60,3.54704811547422e-60,-0.221516451979071,-0.264544241877924,FALSE
"RSV_genus71","Geodermatophilus","Actinobacteria",2.42600829453823e-61,4.07147478996416e-61,-0.223206263126097,-0.271737891731547,FALSE
"RSV_genus72","Modestobacter","Actinobacteria",6.1081768858311e-61,8.39750517411113e-61,-0.225356821019241,-0.267481797886928,FALSE
"RSV_genus75","Nakamurella","Actinobacteria",6.11756076414521e-61,8.39750517411113e-61,-0.225356821019241,-0.270138106491165,FALSE
"RSV_genus76","Candidatus Planktophila","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus78","Sporichthya","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus79","hgcI clade","Actinobacteria",9.40293459294178e-63,1.68033923744237e-61,-0.218705168476987,-0.273878869653688,FALSE
"RSV_genus81","Angustibacter","Actinobacteria",1.60627558427591e-61,2.87268876007016e-61,-0.225356821019241,-0.273878869653688,FALSE
"RSV_genus82","Kineococcus","Actinobacteria",5.72547547808525e-62,2.87268876007016e-61,-0.222513528486094,-0.273878869653688,FALSE
