"OTU","Genus","Phylum","p_value","p_adj_BH","control","Emphysema","in_top_panel"
"RSV_genus1287","Acidibacter","Proteobacteria",3.26440163601192e-06,8.45499025250447e-06,-0.252920854663914,-0.167454163850815,FALSE
"RSV_genus1288","Candidatus Competibacter","Proteobacteria",5.65978554222163e-06,8.45499025250447e-06,-0.253303164250403,-0.21157767744101,FALSE
"RSV_genus1290","Steroidobacter","Proteobacteria",7.88139611236923e-06,9.518832601297e-06,-0.240321738835217,-0.21157767744101,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",0.913359532666972,0.915256437200029,0.443101852132669,0.0921760446791855,FALSE
"RSV_genus1301","Turneriella","Spirochaetae",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1304","Sphaerochaeta","Spirochaetae",9.69452288902142e-07,8.36270470769503e-06,-0.250924991982435,-0.191486454816084,FALSE
"RSV_genus1305","Spirochaeta 2","Spirochaetae",3.15064469810692e-05,3.44713393840496e-05,-0.207378984837787,-0.21157767744101,FALSE
"RSV_genus1306","Treponema","Spirochaetae",5.91884421216222e-06,8.45499025250447e-06,-0.252177511499726,-0.21157767744101,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",0.000417875700939749,0.000446073065715551,4.09582705162914,2.91865610000028,TRUE
"RSV_genus1308","Candidatus Tammella","Synergistetes",1.1143939432383e-05,1.26964599200113e-05,-0.244590650256985,-0.21157767744101,FALSE
"RSV_genus1309","Fretibacterium","Synergistetes",0.0157864811759894,0.0164158990677044,2.06708709212266,1.28358544502476,FALSE
"RSV_genus1310","Jonquetella","Synergistetes",4.97806342036555e-06,8.45499025250447e-06,-0.250310862720392,-0.188252490304283,FALSE
"RSV_genus1311","Pyramidobacter","Synergistetes",3.49654470588613e-08,1.58960081022904e-06,-0.124559766355934,0.027984313800684,FALSE
"RSV_genus1312","Synergistes","Synergistetes",6.05473807997344e-06,8.45499025250447e-06,-0.251973043416483,-0.21157767744101,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",0.0187997314613586,0.0195282463511421,0.260616512290729,-0.123330650260621,FALSE
"RSV_genus1315","Anaeroplasma","Tenericutes",6.01621909037076e-06,8.45499025250447e-06,-0.252373120724811,-0.21157767744101,FALSE
"RSV_genus1316","Entomoplasma","Tenericutes",3.47997460745993e-06,8.45499025250447e-06,-0.250289897734295,-0.195655760213936,FALSE
"RSV_genus1317","Mesoplasma","Tenericutes",6.41219302312293e-06,8.45499025250447e-06,-0.25051238684209,-0.21157767744101,FALSE
"RSV_genus1318","Spiroplasma","Tenericutes",8.27152280687151e-06,9.85434507238396e-06,-0.244628462042563,-0.21157767744101,FALSE
"RSV_genus1319","Candidatus Phytoplasma","Tenericutes",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1321","Candidatus Bacilloplasma","Tenericutes",1.45691098196009e-06,8.45499025250447e-06,-0.241600308036931,-0.173330469765426,FALSE
"RSV_genus1322","Mycoplasma","Tenericutes",0.772876776927587,0.77852410201996,2.16300066625469,1.9217019700033,FALSE
