"VARNAME","Metric","LEVEL","group_mean","group_N","REF_LEVEL","group_mean-REF_group_mean","wilcox_effsize","wilcox_p_val","wilcox_p_FDR"
"Blood_pressure","Beta Diversity ( Braycurtis )","Hypertensive Crisis",0.57979355179704,44,"Normal",0.0506543362595974,0.0600466173899765,1.34309710776149e-05,1.34309710776149e-05
"Blood_pressure","Beta Diversity ( Unwunifrac )","Elevated",0.44897445823532,1410,"Normal",0.0104006945657864,-0.114412293606172,7.02763449156567e-13,1.40552689831313e-12
"Blood_pressure","Beta Diversity ( Unwunifrac )","Normal",0.438573763669534,4964,"Normal",0,NA,NA,NA
"Blood_pressure","Beta Diversity ( Unwunifrac )","Hypertension Stage 1",0.447088166286404,1583,"Normal",0.00851440261686986,-0.154651334860714,3.29024648268983e-11,3.29024648268983e-11
"Blood_pressure","Beta Diversity ( Unwunifrac )","Hypertension Stage 2",0.46148782782099,1042,"Normal",0.0229140641514564,0.0452923826423483,1.06927342912173e-45,4.27709371648692e-45
"Blood_pressure","Beta Diversity ( Unwunifrac )","Hypertensive Crisis",0.503085393995772,44,"Normal",0.064511630326238,0.0958298076564586,5.76900973977123e-12,7.69201298636163e-12
"Blood_pressure","Beta Diversity ( Wunifrac )","Elevated",0.283985032624616,1410,"Normal",0.00489691510940943,-0.158818390721345,0.000279459354173125,0.000558918708346251
"Blood_pressure","Beta Diversity ( Wunifrac )","Normal",0.279088117515206,4964,"Normal",0,NA,NA,NA
"Blood_pressure","Beta Diversity ( Wunifrac )","Hypertension Stage 1",0.285851392799542,1583,"Normal",0.00676327528433568,-0.182796851826954,1.32699816469094e-05,5.30799265876378e-05
"Blood_pressure","Beta Diversity ( Wunifrac )","Hypertension Stage 2",0.285294990271869,1042,"Normal",0.00620687275666232,-0.0923646613362427,0.000429980798818744,0.000573307731758325
"Blood_pressure","Beta Diversity ( Wunifrac )","Hypertensive Crisis",0.307529516610994,44,"Normal",0.0284413990957872,0.0348774740481485,0.0101167584315515,0.0101167584315515
"Pulse_category","Beta Diversity ( Braycurtis )","75-85 bpm",0.531302126485599,2319,"70-75 bpm",-0.00434909785637427,-1,0.0745044680477711,0.0993392907303615
"Pulse_category","Beta Diversity ( Braycurtis )","85+ bpm",0.555615579022392,1394,"70-75 bpm",0.0199643546804191,-0.449649153541888,3.87302036920459e-24,1.54920814768184e-23
"Pulse_category","Beta Diversity ( Braycurtis )","60-70 bpm",0.530618780408293,2547,"70-75 bpm",-0.0050324439336803,-1,0.00743558347762478,0.0148711669552496
"Pulse_category","Beta Diversity ( Braycurtis )","70-75 bpm",0.535651224341973,1906,"70-75 bpm",0,NA,NA,NA
"Pulse_category","Beta Diversity ( Braycurtis )","<60 bpm",0.533034178283894,890,"70-75 bpm",-0.00261704605807866,-0.398807080744327,0.251067579078599,0.251067579078599
"Pulse_category","Beta Diversity ( Unwunifrac )","75-85 bpm",0.44376070073882,2319,"70-75 bpm",0.00147045084952019,-1,0.151065671382201,0.248497995384946
"Pulse_category","Beta Diversity ( Unwunifrac )","85+ bpm",0.463944134952624,1394,"70-75 bpm",0.0216538850633249,-0.402602640037319,1.01240693547548e-37,4.04962774190193e-37
