"OTU","Genus","Phylum","p_value","p_adj_BH","Today","Yesterday","X3.5.days.ago","in_top_panel"
"RSV_genus510","Dolosigranulum","Firmicutes",0.607028100510886,0.79525386811116,3.20700785340314e-06,9.63848780487805e-07,1.2414014084507e-05,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.014140324240696,0.0477942959335524,0.0233344908337696,0.0252952343365854,0.0240312227323944,TRUE
"RSV_genus519","Lactobacillus","Firmicutes",2.02836900971479e-12,6.85588725283597e-11,0.0161834101361257,0.00616876766341463,0.0017128426056338,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.594663570369813,0.790759419573188,1.38414096858639e-05,5.51170243902439e-06,0,FALSE
"RSV_genus525","Weissella","Firmicutes",0.20257582057727,0.389037655426803,9.44268586387434e-06,9.65853658536585e-08,0,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.0237673299052199,0.068079300914952,0.000564736764397906,2.41672975609756e-05,4.07254929577465e-06,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.367126334550576,0.596732022186673,0.329116241958115,0.325129092682927,0.316298860690141,FALSE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.616451607863392,0.80138709022241,0.000143746755235602,0.000198873570731707,3.03425352112676e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.00126488411288993,0.00647773985086053,7.93418848167539e-06,9.97956097560976e-07,1.04959436619718e-05,FALSE
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",0.702948033099787,0.847300986084558,0.000330571997382199,0.000306157658536585,0.000311698535211268,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",3.33711198519676e-05,0.000268558059761073,0.000168730102094241,0.000109996302439024,8.46053661971831e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.745979347303685,0.875489650655019,0.000119665616492147,1.65066975609756e-05,0.000158669352112676,FALSE
"RSV_genus562","Ezakiella","Firmicutes",0.386364456129602,0.621862791294313,6.34740471204188e-05,2.87194682926829e-05,7.86546338028169e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.103218052796852,0.230351080482914,6.49971230366492e-05,1.92063902439024e-05,4.14460563380282e-06,FALSE
"RSV_genus566","Murdochiella","Firmicutes",0.767788791080449,0.894871073742041,3.51095039267016e-05,4.36186731707317e-05,2.7327338028169e-05,FALSE
"RSV_genus568","Parvimonas","Firmicutes",0.0125991048076452,0.0443593481769174,0.00608539558900524,0.0044836308097561,0.00376141621126761,TRUE
"RSV_genus569","Peptoniphilus","Firmicutes",0.0166424823569881,0.0506283376156209,9.25532617801047e-05,0.000149770131707317,6.21708028169014e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",0.231258316621497,0.424811472924271,3.40939319371728e-05,4.16988731707317e-05,3.38677887323944e-05,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",0.397654610510679,0.633996501663252,0.000150435265706806,0.000119159663414634,0.000116999492957746,FALSE
"RSV_genus579","Incertae Sedis","Firmicutes",0.0831290966612901,0.195122462996639,0.000988519146596859,0.000887345292682927,0.000700418732394366,FALSE
"RSV_genus580","Mogibacterium","Firmicutes",0.0630946324883123,0.156808718978306,0.00258609439659686,0.00286839111707317,0.00287153552112676,FALSE
"RSV_genus582","[Eubacterium] brachy group","Firmicutes",0.0167762538844661,0.0506283376156209,0.00223041194764398,0.00152717342439024,0.00128085826760563,FALSE
"RSV_genus583","[Eubacterium] nodatum group","Firmicutes",0.000198089526780366,0.00127685627650599,0.00152291869764398,0.00180836886341463,0.00249755664788732,TRUE
"RSV_genus589","Blautia","Firmicutes",0.686948617912939,0.84126316251657,0.000101795218586387,9.78008634146341e-05,5.58830985915493e-06,FALSE
"RSV_genus591","Butyrivibrio 2","Firmicutes",2.99189190712587e-05,0.00026612091173909,0.000132622354712042,0.000142760502439024,0.000169066042253521,FALSE
"RSV_genus592","Catonella","Firmicutes",0.027102309709927,0.0763381723496278,0.00074572112696335,0.00075249967804878,0.000797508676056338,FALSE
"RSV_genus600","Howardella","Firmicutes",7.20061247479329e-06,7.857482914147e-05,5.1590447643979e-05,2.66297804878049e-05,2.57477042253521e-05,FALSE
"RSV_genus602","Incertae Sedis","Firmicutes",0.899992443438651,0.950617018382075,3.26620772251309e-05,5.49941658536585e-05,5.9064647887324e-06,FALSE
"RSV_genus603","Johnsonella","Firmicutes",0.0117577454394513,0.0441568662059392,0.000150870967277487,0.000169864190243902,0.000239656873239437,FALSE
"RSV_genus604","Lachnoanaerobaculum","Firmicutes",0.0086031637141079,0.0372803760944675,0.00215996435602094,0.00223847433170732,0.00245076042253521,TRUE
