"OTU","Genus","Phylum","p_value","p_adj_BH","Male.58.82cm..Female.58.80cm","Male.83.92cm..Female.81.89cm","Male.93.100cm..Female.90.97cm","Male.101.110cm..Female.98.109cm","Male.111.179cm..Female.110.165cm","in_top_panel"
"RSV_genus1095","Desulfomicrobium","Proteobacteria",0.00175475660200633,0.00673986058497887,3.09297678571429e-05,2.87441214750542e-05,5.33042960596379e-05,3.85056988809766e-05,4.12228010050251e-05,FALSE
"RSV_genus1096","Bilophila","Proteobacteria",0.248617898225254,0.400156426667314,1.02869821428571e-05,9.15823969631237e-06,8.34340042598509e-06,3.66015584944049e-05,1.48742542713568e-05,FALSE
"RSV_genus1097","Desulfovibrio","Proteobacteria",8.38518960061463e-05,0.000429423346213294,1.30145136554622e-05,2.80617874186551e-05,1.75144089456869e-05,3.50026276703967e-05,2.17729969849246e-05,FALSE
"RSV_genus1133","Campylobacter","Proteobacteria",0.0365071111548106,0.0949184890025076,0.00474050213760504,0.00521790321366594,0.00501165920873269,0.00478485747100711,0.00483422157286432,FALSE
"RSV_genus1137","Rs-M59 termite group","Proteobacteria",0.578312451697405,0.701498876569539,1.51208665966387e-05,8.89365292841649e-06,9.5244291799787e-06,1.57133967446592e-05,6.75171658291457e-06,FALSE
"RSV_genus1139","Wolinella","Proteobacteria",0.0221288155391794,0.0613077020675627,1.69572657563025e-05,1.65791995661605e-05,2.01174451544196e-05,1.64749237029502e-05,9.2945256281407e-06,FALSE
"RSV_genus1161","Cardiobacterium","Proteobacteria",5.25192684303042e-07,5.91717090981428e-06,0.00054458456407563,0.00169607001518439,0.000463620537806177,0.000487692449643947,0.000421521839195979,TRUE
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",0.0506002120759642,0.122163369154828,0.00147982571533613,0.000603364963123645,0.00242750122364217,0.00030718017802645,0.0006043178,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",0.0521849087911617,0.122871445315506,2.47010462184874e-05,2.7690057483731e-05,3.43153120340788e-05,7.48197355035605e-06,1.38981236180905e-05,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",0.484118410861386,0.633697595610572,0.000108921158613445,0.000123585277657267,0.000117298517571885,0.000164678688708037,0.00018199040201005,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",1.95943661203521e-12,6.622895748679e-11,0.00578260501995798,0.00527499082212581,0.00547749323961661,0.00490450863479146,0.00445679704924623,TRUE
"RSV_genus1229","Aggregatibacter","Proteobacteria",0.003868302860857,0.0139094294358475,0.0052521585210084,0.00555041924620391,0.00557808234611289,0.00530731382706003,0.00463912933165829,TRUE
"RSV_genus1233","Haemophilus","Proteobacteria",0.00477390167396658,0.0168081121437573,0.0557843424579832,0.0560444041550976,0.0559871266613419,0.0560275750579858,0.0512704622321609,TRUE
"RSV_genus1234","Mannheimia","Proteobacteria",0.0064167674748401,0.0216886740649595,0.00118451660189076,0.00143098315075922,0.0013726050543131,0.00135852209969481,0.00127834210351759,FALSE
"RSV_genus1238","Acinetobacter","Proteobacteria",0.0542035641898128,0.125484963672306,0.00129799857457983,0.00108984617136659,0.00108886526198083,0.000683713161749746,0.000829356858291457,FALSE
"RSV_genus1241","Moraxella","Proteobacteria",0.00195912377234076,0.00735759816723531,0.000690945155462185,0.000159005130151844,0.000475567667731629,0.000266774232960326,0.00036476747839196,TRUE
"RSV_genus1246","Azomonas","Proteobacteria",0.068038472343532,0.147416690077653,1.35607993697479e-05,0.000416008327548807,9.59953674121406e-06,7.5813001017294e-06,7.39426432160804e-06,FALSE
"RSV_genus1248","Pseudomonas","Proteobacteria",0.0595817668355023,0.132491034147367,0.000434199954831933,0.00107492730694143,0.00119289606602769,0.000934562942014242,0.00115576729949749,FALSE
"RSV_genus1257","Aliivibrio","Proteobacteria",0.143469732414628,0.269404275311913,9.09696754201681e-05,1.68434305856833e-05,9.72977209797657e-06,1.18992024415056e-05,0.000108688142713568,FALSE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",0.579146070141923,0.701498876569539,0.000129855889705882,0.000207327880694143,0.00120474021512247,0.000739388479145473,0.000160208775879397,FALSE
"RSV_genus1285","Xanthomonas","Proteobacteria",0.314075128815795,0.465602603244468,8.52041071428572e-06,7.60984056399132e-05,3.40407571884984e-05,1.64483031536114e-05,7.07812864321608e-06,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",0.195056846257261,0.336852666355007,3.61665955882353e-05,3.72722082429501e-05,3.04958945686901e-05,3.527403560529e-05,2.79692834170854e-05,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",2.93924337952039e-05,0.000198692852455579,0.00346195055672269,0.00468393789804773,0.00507627361980831,0.00467036844760936,0.00447990591959799,TRUE
"RSV_genus1309","Fretibacterium","Synergistetes",4.95706455271779e-10,1.19677701344187e-08,0.000397745178571429,0.000567177887201735,0.000628901103301385,0.000586914656154628,0.000648568340703518,FALSE
"RSV_genus1311","Pyramidobacter","Synergistetes",0.000466741740555824,0.00207577247773511,3.94829411764706e-06,2.24144262472885e-05,9.35672736954206e-06,1.88738351983723e-05,1.4007351758794e-05,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",0.566324458930829,0.698604624520511,0.000157187711134454,0.000297245211496746,0.000277773104366347,0.000227634822990844,0.000216040691457287,FALSE
"RSV_genus1322","Mycoplasma","Tenericutes",6.08346815961882e-05,0.000321283162179869,0.000525378286764706,0.000650246621475054,0.000753698693290736,0.000745801533062055,0.000766040978894472,FALSE
"RSV_genus1333","Opitutus","Verrucomicrobia",0.0773973808185608,0.165571612130845,1.24043340336134e-05,1.39351735357918e-06,8.53399148029819e-06,8.05536012207528e-06,5.16725628140703e-07,FALSE
"RSV_genus1344","Akkermansia","Verrucomicrobia",0.454365005070733,0.618868127073913,0.000189868630252101,6.14316616052061e-05,6.92176879659212e-05,0.000344946378433367,0.000161619295477387,FALSE
