"OTU","Genus","Phylum","p_value","p_adj_BH","control","Diabetes","in_top_panel"
"RSV_genus1238","Acinetobacter","Proteobacteria",0.302545765375739,0.473117603434431,0.000596372760727273,0.000846340739669421,FALSE
"RSV_genus1241","Moraxella","Proteobacteria",0.0161987680252952,0.0570331624223934,0.000362360277090909,0.000276760803719008,FALSE
"RSV_genus1246","Azomonas","Proteobacteria",0.256899073219593,0.442440776939391,2.19492832727273e-05,4.55397727272727e-06,FALSE
"RSV_genus1248","Pseudomonas","Proteobacteria",0.790512492714476,0.884745769991699,0.000832889365090909,0.00111559417561983,FALSE
"RSV_genus1257","Aliivibrio","Proteobacteria",0.205074316977036,0.393932287941705,2.59915752727273e-05,0.000173168216942149,FALSE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",0.559946549052016,0.722373792288478,0.000299240845818182,0.000964303609504132,FALSE
"RSV_genus1285","Xanthomonas","Proteobacteria",0.0314186688522016,0.0948170542146798,1.93310607272727e-05,2.14070247933884e-06,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",0.03072272024514,0.094402540389612,3.56427647272728e-05,2.69384359504132e-05,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",2.51365196480462e-05,0.000424807182051981,0.00512502302581818,0.00382656736776859,TRUE
"RSV_genus1309","Fretibacterium","Synergistetes",0.00182499850777959,0.0102808249271584,0.000649293977454547,0.00053716730785124,TRUE
"RSV_genus1311","Pyramidobacter","Synergistetes",0.000684793318187711,0.00551095575112968,1.68612767272727e-05,1.50279359504132e-05,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",0.000116568968666329,0.00151539659266228,0.000340735167272727,0.000143262636363636,TRUE
"RSV_genus1322","Mycoplasma","Tenericutes",0.00312814015681528,0.0151044481857652,0.000790758004363636,0.000642980303719009,TRUE
"RSV_genus1333","Opitutus","Verrucomicrobia",0.531449131944328,0.696239560454197,9.28237527272727e-06,3.17211157024793e-06,FALSE
"RSV_genus1344","Akkermansia","Verrucomicrobia",0.684541283253136,0.818317153596339,0.000194986858909091,3.16879194214876e-05,FALSE
