"OTU","Genus","Phylum","p_value","p_adj_BH","X30.39","X14.19","X20.29","X40.49","X50.59","X60.69","in_top_panel"
"RSV_genus971","Sphingomonas","Proteobacteria",0.882485233065422,0.898610105326824,7.27964764179105e-05,4.48760047337278e-05,6.09926513761468e-05,8.88825931899641e-05,0.000138136850491803,0.000123377332683561,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.67770202032067,0.715822758963708,5.63490507462686e-06,1.72763071005917e-05,2.98461811926606e-06,2.59342831541219e-06,3.06923868852459e-06,8.97324171539961e-06,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",1.14013871950102e-05,2.04982386803907e-05,7.69841014925373e-06,7.00907810650887e-06,0.000158852658830275,0.000212979660692951,7.18709416393442e-05,2.41363742690058e-06,FALSE
"RSV_genus993","Lautropia","Proteobacteria",2.66353883360097e-105,6.43054375540805e-104,0.00130831874865672,0.0020608620260355,0.0016027198428899,0.00114105012305854,0.00113432052918033,0.00099515993437297,FALSE
"RSV_genus998","Ralstonia","Proteobacteria",9.37777118108092e-12,2.26406189943239e-11,0.000659260602985075,0.000105015518343195,9.35360315366972e-05,0.000161052105734767,0.000440300426229508,0.000114366844054581,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",1.79651347720663e-11,4.21681635622112e-11,3.31757373134328e-05,4.39577591715976e-05,3.94273142201835e-05,2.84898769414576e-05,1.94733062295082e-05,2.44663534762833e-05,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.210184700584569,0.265083689543226,0.000375333288955224,0.000270723578106509,0.000317480005160551,0.000397013520310633,0.000394769355409836,0.000338668150097466,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.0366300735961515,0.0533662279116345,0.000394363085970149,3.20118201183432e-05,4.99637792431193e-05,0.000102805554360812,0.000302726113442623,5.23729486679662e-05,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.665395695997879,0.707244481909695,3.2232352238806e-06,7.83184674556213e-06,3.27278325688073e-06,2.42714994026284e-06,7.60396393442623e-06,2.461738791423e-06,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.307505306127777,0.377836958451358,5.5278847761194e-06,4.7830649112426e-05,6.85962901376147e-06,1.03571863799283e-05,1.567376e-05,1.53078297595841e-06,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",5.10284245881928e-08,1.02664330421483e-07,0.000101887771343284,6.52420065088758e-05,7.72756943807339e-05,7.7405756869773e-05,5.97084518032787e-05,6.31906608187135e-05,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.580303318240584,0.628661928093966,7.95354328358209e-06,1.25989893491124e-05,5.26954701834862e-06,6.29315651135006e-06,6.32572655737705e-06,2.01303268356075e-05,FALSE
"RSV_genus1060","Eikenella","Proteobacteria",7.82460559266675e-06,1.43734602734857e-05,0.000297326725373135,0.000190934534319527,0.000200779825688073,0.000203956810035842,0.000231397980327869,0.000176495115659519,FALSE
"RSV_genus1061","Kingella","Proteobacteria",3.44291239702046e-08,7.01026741080069e-08,0.000580756268059702,0.000531625021893492,0.000515334547018349,0.000658889120669056,0.000609544204590162,0.000545983196881091,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",3.17410044865192e-18,8.51465040987577e-18,0.0233422062119403,0.0280383971420118,0.0248334619294725,0.0248823335340501,0.0273874295495082,0.0302331331786874,TRUE
"RSV_genus1064","Simonsiella","Proteobacteria",1.15328102993465e-37,4.8726123514739e-37,7.07894871641791e-05,7.25551307692308e-05,7.86045263761468e-05,3.0540541218638e-05,1.73221586885246e-05,1.56366192332684e-05,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.726178145761015,0.757556213787726,3.37507188059701e-05,0.000109928781065089,3.67129030963303e-05,0.00012503873297491,9.09404059016393e-05,9.31425789473684e-05,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.00854329386792211,0.0136209119214985,2.54501134328358e-06,2.82332485207101e-06,2.67726834862385e-06,2.89050537634409e-06,1.24248590163934e-06,1.19621832358674e-06,FALSE
"RSV_genus1082","Zoogloea","Proteobacteria",0.436142374568515,0.498027441230264,5.36625671641791e-06,2.84677692307692e-06,1.64169449541284e-05,2.18718637992832e-06,4.82749180327869e-06,6.10315139701105e-06,FALSE
"RSV_genus1090","Desulfobulbus","Proteobacteria",2.00830002371307e-79,1.8855705778195e-78,0.00013160568,1.98278390532544e-05,7.55374030963303e-05,0.000138761364396655,0.000126645780983607,8.96469077322936e-05,FALSE
"RSV_genus1095","Desulfomicrobium","Proteobacteria",1.590226303793e-27,5.16823548732724e-27,3.10642292537313e-05,1.35136822485207e-05,1.08401811926606e-05,4.29412066905615e-05,5.51475390163934e-05,5.28060012995451e-05,FALSE
"RSV_genus1096","Bilophila","Proteobacteria",0.399771815940792,0.465940944096509,7.40727940298507e-06,1.06076763313609e-05,1.32885871559633e-05,3.04718518518519e-05,9.04957508196721e-06,1.03822332683561e-05,FALSE
