"OTU","Genus","Phylum","p_value","p_adj_BH","X150.184.","Below.50.","X50.99.","X100.124.","X125.149.","X185.199.","X200..and.Over","in_top_panel"
"RSV_genus555","Defluviitaleaceae UCG-011","Firmicutes",8.90861314339436e-42,3.76388905308412e-40,0.000323579758785943,0.000249914052878966,0.000288851856046065,0.000294761250887574,0.000258905331858407,0.000200088599118943,0.000143457913935393,FALSE
"RSV_genus560","Pseudoramibacter","Firmicutes",1.69939852016257e-21,1.91465566604983e-20,8.0434661341853e-05,0.000105107321974148,9.99391631477928e-05,7.50442923076924e-05,5.81291430678466e-05,5.41518193832599e-05,6.02077019570856e-05,FALSE
"RSV_genus561","Anaerococcus","Firmicutes",0.000251699873834542,0.000654419671969808,1.30703897763578e-05,1.79051480611046e-05,5.79797319257837e-05,2.21806213017752e-05,3.85615899705015e-05,0.00020721159030837,2.74296812072624e-05,FALSE
"RSV_genus562","Ezakiella","Firmicutes",1.8386491491526e-11,8.87804874876542e-11,2.90534920127796e-05,4.99575722679201e-05,2.68584497760717e-05,3.30335218934911e-05,1.91436297935103e-05,1.90373744493392e-05,1.50097347323744e-05,FALSE
"RSV_genus563","Finegoldia","Firmicutes",0.0145870518168006,0.029002491259286,9.16095047923323e-06,1.43537426556992e-05,0.000105523477287268,9.48595633136095e-05,1.55687138643068e-05,6.12706607929515e-06,1.89372383871728e-05,FALSE
"RSV_genus566","Murdochiella","Firmicutes",7.07394048167644e-08,2.34410968902612e-07,2.36571869009585e-05,3.90187109283196e-05,1.52106871401152e-05,3.25625692307692e-05,1.49248554572271e-05,3.1650691629956e-05,2.06732987502947e-05,FALSE
"RSV_genus568","Parvimonas","Firmicutes",5.74873671297669e-11,2.4911192422899e-10,0.00594714263578275,0.0048622964054054,0.00516574623160588,0.00538078185443787,0.00491016896017699,0.00536460082378855,0.00443587876962981,TRUE
"RSV_genus569","Peptoniphilus","Firmicutes",0.900071927543097,0.917397141238444,3.5649856230032e-05,4.95341186839013e-05,3.72786615483046e-05,2.8885250887574e-05,7.25569321533923e-05,2.04086607929515e-05,3.90322860174488e-05,FALSE
"RSV_genus577","Family XIII AD3011 group","Firmicutes",0.00203010834170632,0.0045745107966449,3.6621017571885e-05,3.32209753231492e-05,1.96949411388356e-05,1.07635597633136e-05,3.00424690265487e-05,1.00755198237885e-05,1.17354258429616e-05,FALSE
"RSV_genus578","Family XIII UCG-001","Firmicutes",7.94642668196091e-24,1.03303546865492e-22,0.000136481458466454,0.000106239601645123,0.000125029694817658,0.000109855165680473,9.77287817109144e-05,0.000112265942731278,7.75540450365478e-05,FALSE
