"OTU","Genus","Phylum","p_value","p_adj_BH","Never.smoked","X1","X2","X3","X4","X5","in_top_panel"
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.162039261184292,0.226319298678887,1.48125776397516e-06,1.47916666666667e-06,0,3.37667692307692e-06,4.43201111111111e-06,1.62463648468708e-06,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",3.22308551347641e-07,9.90366275959115e-07,6.64415212954747e-05,4.55467083333333e-05,5.36266e-05,0.000150809876923077,8.21545333333334e-05,0.000105183934753662,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.103277777795508,0.153104775854744,6.38737000887312e-06,4.944e-06,6.3317e-06,5.2e-07,1.89343333333333e-06,7.26705446071904e-05,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.000743276509805424,0.00167484973542822,0.002965478810559,0.00316569716666667,0.00385554806,0.00347523069230769,0.00306813482222222,0.00268505949134487,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.0113604647225492,0.020868679762074,9.97405013309672e-06,0,7.96e-07,1.11802769230769e-05,9.55555555555556e-07,9.43457829560586e-05,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",9.83728051327669e-17,5.73276002325434e-16,0.000839074377994675,0.000504196895833333,0.00093349272,0.00107991003076923,0.000952892977777778,0.00177451790412783,FALSE
"RSV_genus728","Centipeda","Firmicutes",0.00109204508802117,0.00242836341941551,6.4232772404614e-05,6.908075e-05,0.00012041826,0.000113379569230769,7.08175888888889e-05,8.41471597869507e-05,FALSE
"RSV_genus729","Dialister","Firmicutes",2.51119094831444e-07,8.16137058202191e-07,0.00238379387533274,0.00168822629166667,0.00286614074,0.00388516218461539,0.00255098665555556,0.00316084638748336,TRUE
"RSV_genus731","Megasphaera","Firmicutes",1.06348904523548e-16,5.99098828815984e-16,0.00476095922626441,0.00428433102083333,0.00588476624,0.00711064266153846,0.00824836628888889,0.0070528984274301,TRUE
"RSV_genus735","Selenomonas","Firmicutes",0.146620209129067,0.209989960532308,0.000646191231588289,0.000573704458333333,0.00081172624,0.000907379184615385,0.000994178955555555,0.000918366990679094,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.357803823953339,0.428857065589463,0.00155420025377107,0.00133301177083333,0.001665155,0.00134387304615385,0.00136579475555556,0.00135601304527297,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",1.31000561114865e-09,4.81284670182875e-09,8.03928101153505e-05,4.0295875e-05,0.00010098902,0.000166291215384615,0.000108911333333333,0.000186618780292943,FALSE
"RSV_genus740","Veillonella","Firmicutes",2.18332887314498e-15,1.11812902897425e-14,0.0550764979875777,0.0603375892083333,0.06349620544,0.060911955323077,0.0662900707444444,0.0673962518215712,TRUE
"RSV_genus742","Fusobacterium","Fusobacteria",0.00147473853640411,0.00323676380067916,0.0274940032440107,0.0265230216666667,0.02566982044,0.0267867752923077,0.0233552028555556,0.0250512413501997,TRUE
"RSV_genus746","Leptotrichia","Fusobacteria",3.06842023323364e-08,1.05829187636018e-07,0.0194000354143744,0.0205732712916667,0.01933688756,0.0198791133692308,0.0152952312111111,0.0160483373115845,TRUE
"RSV_genus749","Sneathia","Fusobacteria",2.25423093516251e-17,1.41098158534246e-16,3.56915789707187e-05,0.0001014045625,0.00014584026,6.50497076923077e-05,2.32687666666667e-05,0.000106913973368841,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",0.000252877307702611,0.000593559236135296,0.000646668710736468,0.00183302429166667,0.00084199414,0.00125753395384615,0.00218131297777778,0.000482700093209055,TRUE
"RSV_genus795","Brevundimonas","Proteobacteria",0.030409664548159,0.0535336802983216,0.000116255096273292,7.56602083333333e-06,8.48626e-06,1.64258e-05,2.06487777777778e-06,0.000105759563249001,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.851595089353614,0.877558354272931,6.8108722715173e-05,5.91004166666667e-06,4.095974e-05,1.44645538461538e-05,2.38897777777778e-06,0.00020626151930759,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.385768030381522,0.452741646767203,0.000116246188110027,1.42420833333333e-05,3.09461e-05,1.98553076923077e-05,3.8157e-06,8.05733408788282e-05,FALSE
