"OTU","Genus","Phylum","p_value","p_adj_BH","Married","Divorced","Living.with.Partner","Never.Married","Separated","Widowed","in_top_panel"
"RSV_genus969","Sphingobium","Proteobacteria",0.9891636936401,0.9891636936401,1.20022744659712e-05,5.05504031354983e-06,7.65267986928105e-05,3.79603668261563e-06,2.33201602564103e-06,5.12551636363636e-06,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.168603023213131,0.244940182787502,0.000110305766766021,5.93220134378499e-05,3.29157202614379e-05,7.84485539606592e-05,0.000244046733974359,0.000115202701818182,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.393300339273828,0.492353758053904,4.04891852955787e-06,2.05430011198208e-06,1.43666666666667e-05,2.46032004253057e-06,4.64516987179487e-06,8.26311272727273e-06,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.28705705248577,0.381989306063742,9.1643889468455e-05,0.00012006329787234,0.000351426373856209,5.95545348219033e-06,5.69801282051282e-06,6.48586181818182e-06,FALSE
"RSV_genus993","Lautropia","Proteobacteria",1.92912852498411e-16,2.11442893160427e-15,0.00128064384724292,0.000934040671892497,0.00108972923529412,0.00148957344019139,0.00105646477564103,0.000733515138181818,TRUE
"RSV_genus998","Ralstonia","Proteobacteria",0.320248874999438,0.41955085174345,0.000377232804023845,8.30431814109742e-05,4.46077673202614e-05,0.000124368854864434,0.0016074045448718,7.99581490909091e-05,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",0.00152977904244062,0.00304442534497486,2.8273543219076e-05,3.501998656215e-05,1.73530183006536e-05,3.506574056353e-05,2.9121641025641e-05,2.14594836363636e-05,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.0179654045408594,0.0306682158323761,0.000393542284401391,0.000266827201567749,0.000324945773856209,0.000415911669324827,0.000100902794871795,0.000309562196363636,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.839178438969027,0.882250060870542,0.000106567863636364,0.000106962701007839,2.41720745098039e-05,0.000263973844763424,0.000916640439102564,0.00049626408,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.366311030840198,0.468989122818132,5.0593912071535e-06,1.17757894736842e-06,1.10657516339869e-06,3.52121690590112e-06,2.35680448717949e-06,3.37605090909091e-06,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.0967340088315069,0.145779643699956,7.70084699453552e-06,1.4227967525196e-05,4.88310065359477e-06,7.96745933014354e-06,6.28982692307692e-06,1.54441818181818e-06,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",0.00354448204982284,0.00665574962688956,8.26657662692499e-05,6.4710836506159e-05,6.04009215686275e-05,7.69829867091972e-05,9.88875224358975e-05,3.90460109090909e-05,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.839540210306459,0.882250060870542,1.20657901142573e-05,7.99129563269877e-06,8.5227477124183e-06,4.63731738437002e-06,3.76337820512821e-06,5.61584363636364e-06,FALSE
"RSV_genus1060","Eikenella","Proteobacteria",0.601023346998465,0.700503073398211,0.000222130745156483,0.00018025531131019,0.000198080997385621,0.000259462860712387,0.000255281413461538,0.000141107949090909,FALSE
"RSV_genus1061","Kingella","Proteobacteria",0.08519531310723,0.132091815735063,0.000611832060854447,0.000582490058230683,0.00052152091372549,0.000568818962785752,0.000498263996794872,0.000479812003636363,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",1.10856366969062e-15,9.36736300888572e-15,0.0289032442285146,0.0222857695050392,0.0212639306705882,0.0243375574875067,0.0234103147532051,0.0242415288618182,TRUE
"RSV_genus1064","Simonsiella","Proteobacteria",0.000890507371838686,0.00192943263898382,4.23627858917039e-05,2.47420974244121e-05,5.74473986928105e-05,5.73268468899522e-05,2.82233044871795e-05,1.37152472727273e-05,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.16030390023226,0.235577035993495,0.000105023499006458,1.95269753639418e-05,5.51366849673203e-05,2.47087171717172e-05,1.80459711538462e-05,0.000281141250909091,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.16957397269904,0.244940182787502,2.38181644311972e-06,1.54620156774916e-06,2.05283529411765e-06,2.35989207868155e-06,1.59807692307692e-06,1.04e-07,FALSE
