"Variable","Metric","Group1","Group2","P_value","P_value_FDR","Significant"
"Tooth_decay","Beta Diversity ( Braycurtis )","control","Tooth decay",4.48605632374202e-12,4.48605632374202e-12,TRUE
"Tooth_decay","Beta Diversity ( Unwunifrac )","control","Tooth decay",5.55679176143208e-07,5.55679176143208e-07,TRUE
"Tooth_decay","Beta Diversity ( Wunifrac )","control","Tooth decay",0.0127685166254637,0.0127685166254637,TRUE
"Oral_all","Beta Diversity ( Braycurtis )","Control","Gum Disease",1.97493456001439e-17,1.97493456001439e-17,TRUE
"Oral_all","Beta Diversity ( Braycurtis )","Control","Oral Hygiene",0.225473144013131,0.225473144013131,FALSE
"Oral_all","Beta Diversity ( Braycurtis )","Control","Tooth Decay",0.98779463058425,0.98779463058425,FALSE
"Oral_all","Beta Diversity ( Braycurtis )","Control","Denture",1.3327652519261e-09,1.3327652519261e-09,TRUE
"Oral_all","Beta Diversity ( Braycurtis )","Gum Disease","Oral Hygiene",4.8682098778042e-06,4.8682098778042e-06,TRUE
"Oral_all","Beta Diversity ( Braycurtis )","Gum Disease","Tooth Decay",1.11331108724175e-06,1.11331108724175e-06,TRUE
"Oral_all","Beta Diversity ( Braycurtis )","Gum Disease","Denture",0.0893945850255604,0.0893945850255604,FALSE
"Oral_all","Beta Diversity ( Braycurtis )","Oral Hygiene","Tooth Decay",0.395328829595603,0.395328829595603,FALSE
